,name,entropy,gridsize,cliplimit,nsmall
1,Im001.jpg,2.1934690612,2,2,1
2,Im002.jpg,2.6124576137,2,2,1
3,Im003.jpg,2.6353980871,2,2,1
4,Im004.jpg,2.6383089731,2,2,1
5,Im005.jpg,2.302394786,2,2,1
6,Im006.jpg,2.4083139485,2,2,1
7,Im007.jpg,2.5657631628,2,2,1
8,Im008.jpg,2.5107886337,2,2,1
9,Im009.jpg,2.3050551837,2,2,1
10,Im010.jpg,2.7353557993,2,2,1
11,Im011.jpg,2.4688456818,2,2,1
12,Im012.jpg,2.3983392354,2,2,1
13,Im013.jpg,2.2319404995,2,2,1
14,Im014.jpg,2.4961671136,2,2,1
15,Im015.jpg,2.4197973791,2,2,1
16,Im016.jpg,2.1771236216,2,2,1
17,Im017.jpg,2.5100743485,2,2,1
18,Im018.jpg,2.6409181399,2,2,1
19,Im019.jpg,2.3666631471,2,2,1
20,Im020.jpg,2.5410449722,2,2,1
21,Im021.jpg,2.6244047309,2,2,1
22,Im022.jpg,2.5629248806,2,2,1
23,Im023.jpg,2.7918192881,2,2,1
24,Im024.jpg,2.3587421636,2,2,1
25,Im025.jpg,2.4259914715,2,2,1
26,Im026.jpg,2.1070975519,2,2,1
27,Im027.jpg,2.3553951416,2,2,1
28,Im028.jpg,2.9614463049,2,2,1
29,Im029.jpg,2.9058731742,2,2,1
30,Im030.jpg,2.4068648552,2,2,1
31,Im031.jpg,2.3071833906,2,2,1
32,Im032.jpg,2.3623918716,2,2,1
33,Im033.jpg,2.4240249639,2,2,1
34,Im034.jpg,2.3906206407,2,2,1
35,Im035.jpg,2.4594694351,2,2,1
36,Im036.jpg,2.7516007823,2,2,1
37,Im037.jpg,2.6834985148,2,2,1
38,Im038.jpg,2.8344988093,2,2,1
39,Im039.jpg,2.4756156544,2,2,1
40,Im040.jpg,2.3843464176,2,2,1
41,Im041.jpg,2.4599433724,2,2,1
42,Im042.jpg,2.3327974278,2,2,1
43,Im043.jpg,2.3185703073,2,2,1
44,Im044.jpg,2.6946221997,2,2,1
45,Im045.jpg,2.6437682203,2,2,1
46,Im046.jpg,2.4340756065,2,2,1
47,Im047.jpg,2.4947194489,2,2,1
48,Im048.jpg,2.6857184227,2,2,1
49,Im049.jpg,2.3926933448,2,2,1
50,Im050.jpg,2.3442643987,2,2,1
51,Im051.jpg,2.2092814284,2,2,1
52,Im052.jpg,2.8197073742,2,2,1
53,Im053.jpg,2.4289173104,2,2,1
54,Im054.jpg,2.5729505081,2,2,1
55,Im055.jpg,2.8150482026,2,2,1
56,Im056.jpg,2.6656690959,2,2,1
57,Im057.jpg,2.410620483,2,2,1
58,Im058.jpg,2.3635566017,2,2,1
59,Im059.jpg,2.380385184,2,2,1
60,Im060.jpg,2.7236623167,2,2,1
61,Im061.jpg,2.5078150663,2,2,1
62,Im062.jpg,2.7279440222,2,2,1
63,Im063.jpg,2.5761654544,2,2,1
64,Im064.jpg,2.1490082726,2,2,1
65,Im065.jpg,2.3420034601,2,2,1
66,Im066.jpg,2.5834881848,2,2,1
67,Im067.jpg,2.7189106888,2,2,1
68,Im068.jpg,2.8198721125,2,2,1
69,Im069.jpg,3.0150867041,2,2,1
70,Im070.jpg,2.6356778997,2,2,1
71,Im071.jpg,2.6432102171,2,2,1
72,Im072.jpg,2.1175664451,2,2,1
73,Im073.jpg,2.096025603,2,2,1
74,Im074.jpg,2.6657626137,2,2,1
75,Im075.jpg,2.3538622908,2,2,1
76,Im076.jpg,2.4700182296,2,2,1
77,Im077.jpg,2.6803222919,2,2,1
78,Im078.jpg,2.3603681771,2,2,1
79,Im079.jpg,2.6767708482,2,2,1
80,Im080.jpg,2.6099140866,2,2,1
81,Im081.jpg,2.6374297499,2,2,1
82,Im082.jpg,2.5929850778,2,2,1
83,Im083.jpg,2.620430363,2,2,1
84,Im084.jpg,2.6526338391,2,2,1
85,Im085.jpg,2.6582329748,2,2,1
86,Im086.jpg,2.4027544518,2,2,1
87,Im087.jpg,2.6076793622,2,2,1
88,Im088.jpg,2.6203421455,2,2,1
89,Im089.jpg,2.7565495393,2,2,1
90,Im090.jpg,2.6526281403,2,2,1
91,Im091.jpg,2.6733868094,2,2,1
92,Im092.jpg,2.4818928094,2,2,1
93,Im093.jpg,2.573544302,2,2,1
94,Im094.jpg,2.8121210997,2,2,1
95,Im095.jpg,2.0487027029,2,2,1
96,Im096.jpg,2.7157732732,2,2,1
97,Im097.jpg,2.6255941603,2,2,1
98,Im098.jpg,2.8577694881,2,2,1
99,Im099.jpg,2.2344121996,2,2,1
100,Im100.jpg,2.4589292226,2,2,1
101,Im101.jpg,2.6949947062,2,2,1
102,Im102.jpg,2.2189801609,2,2,1
103,Im103.jpg,2.6582161303,2,2,1
104,Im104.jpg,2.9239181204,2,2,1
105,Im105.jpg,2.7733833973,2,2,1
106,Im106.jpg,2.4315646937,2,2,1
107,Im107.jpg,2.2946466359,2,2,1
108,Im108.jpg,2.4362412153,2,2,1
109,Im109.jpg,2.6940605407,2,2,1
110,Im110.jpg,2.7750734113,2,2,1
111,Im111.jpg,2.6091637356,2,2,1
112,Im112.jpg,2.6402085818,2,2,1
113,Im113.jpg,2.5997168146,2,2,1
114,Im114.jpg,2.1680447141,2,2,1
115,Im115.jpg,2.5606187683,2,2,1
116,Im116.jpg,2.6587336703,2,2,1
117,Im117.jpg,2.4739126234,2,2,1
118,Im118.jpg,2.4256213414,2,2,1
119,Im119.jpg,2.4432308593,2,2,1
120,Im120.jpg,2.1881417447,2,2,1
121,Im121.jpg,2.632733796,2,2,1
122,Im122.jpg,2.6488074249,2,2,1
123,Im123.jpg,1.8323352146,2,2,1
124,Im124.jpg,2.2407675279,2,2,1
125,Im125.jpg,2.5231702425,2,2,1
126,Im126.jpg,2.3860510615,2,2,1
127,Im127.jpg,2.5159354385,2,2,1
128,Im128.jpg,2.1735754622,2,2,1
129,Im129.jpg,2.6661663286,2,2,1
130,Im130.jpg,2.3106885106,2,2,1
131,Im131.jpg,2.6514739556,2,2,1
132,Im132.jpg,2.4325698881,2,2,1
133,Im133.jpg,2.6645272083,2,2,1
134,Im134.jpg,2.1639296199,2,2,1
135,Im135.jpg,2.3537035391,2,2,1
136,Im136.jpg,2.5304138678,2,2,1
137,Im137.jpg,2.5763465883,2,2,1
138,Im138.jpg,2.6745071593,2,2,1
139,Im139.jpg,2.5101394049,2,2,1
140,Im140.jpg,1.990897831,2,2,1
141,Im141.jpg,2.1724554134,2,2,1
142,Im142.jpg,2.6666126651,2,2,1
143,Im143.jpg,2.4749692233,2,2,1
144,Im144.jpg,2.2732670772,2,2,1
145,Im145.jpg,2.4786507298,2,2,1
146,Im146.jpg,2.579379799,2,2,1
147,Im147.jpg,2.2877507512,2,2,1
148,Im148.jpg,2.0590578771,2,2,1
149,Im149.jpg,2.7435981998,2,2,1
